npl,total assets,debt to equity,ROA,Tier 1 capital ratio,net charge offs,total loans,TBTF ,Bank,date,risk based capital ratio,total liabilities,total interest expense,total debt,interest rate,total equity,ROE,equity assets ratio,NPL_tot_loans,tot_loans_tot_assets,loan deposit ratio
152.2,121509.6,112.847,0.8137,12,2.4,34557.1,0,Northern Trust,2016-06-30,13.5,112558.1,45,10101.5,0.004454784,8951.5,11.0989,0.073669076,0.004404305,0.284398105,34.8755
173.3,120085,82.0205,0.8375,13.1,-0.8,33423,0,Northern Trust,2016-09-30,14.5,110505.2,46.1,7857.4,0.005867081,9579.8,10.9484,0.079775159,0.005185052,0.278327851,33.6006
160.2,123926.9,91.0188,0.858,12.9,10.9,33822.1,0,Northern Trust,2016-12-31,14.5,114156.5,46.7,8892.9,0.00525138,9770.4,11.1765,0.078840026,0.004736548,0.272919762,33.2725
179.9,121488.7,79.9363,0.8886,13.4,2,33471.8,0,Northern Trust,2017-03-31,15,111511,56.8,7975.8,0.007121543,9977.7,11.3043,0.082128626,0.005374674,0.27551369,33.2955
159,125605.7,80.6563,0.8645,13.5,3.2,33499,0,Northern Trust,2017-06-30,15.6,115537.8,75.7,8120.4,0.009322201,10067.9,11.2317,0.080154802,0.00474641,0.26669968,32.1142
137.3,131400.2,119.5884,0.8819,13.4,-1.6,33336.1,0,Northern Trust,2017-09-30,15.4,121235,99.6,12156.4,0.008193215,10165.2,11.2322,0.077360613,0.004118658,0.253699005,31.5054
150.7,138590.5,121.3318,0.9135,13.8,6.6,32592.2,0,Northern Trust,2017-12-31,15.8,128374.3,108.1,12395.5,0.008720907,10216.2,11.998,0.073715009,0.004623806,0.235169077,28.999
124.7,129672.2,42.4447,1.0388,13.6,3,32108.9,0,Northern Trust,2018-03-31,15.5,119446.2,121.9,4340.4,0.028084969,10226,12.9135,0.078860388,0.003883658,0.247615912,30.5243
128.4,135106.2,145.0548,1.0947,13.6,0.1,32473.2,0,Northern Trust,2018-06-30,15.6,124748.6,154.4,15024.2,0.010276754,10357.6,13.9727,0.076662655,0.00395403,0.240353144,30.4841
113.6,132378.5,57.7076,1.1397,14.2,-0.3,31354,0,Northern Trust,2018-09-30,16.2,122014,191,5981.1,0.031933925,10364.5,14.6432,0.078294436,0.003623142,0.23685115,29.8919
109.3,132212.5,58.6565,1.1495,14.1,-1.7,32490,0,Northern Trust,2018-12-31,16.1,121704.2,231.4,6163.8,0.037541776,10508.3,15.0199,0.079480382,0.003364112,0.245740758,31.0919
116.1,121869.4,43.6003,1.2101,14.3,-1.2,30620.6,0,Northern Trust,2019-03-31,16.3,111253.2,240.8,4628.7,0.052023246,10616.2,14.604,0.087111285,0.003791565,0.251257494,31.9483
115.1,126550.9,46.0506,1.1625,14.5,-1.2,30982.3,0,Northern Trust,2019-06-30,16.4,115745.4,222.8,4976,0.04477492,10805.5,14.3731,0.085384616,0.003715024,0.244820859,30.9111
113.1,124355.8,46.7428,1.1927,14.1,-0.6,30844.2,0,Northern Trust,2019-09-30,16,113544.5,203.1,5053.5,0.040189967,10811.3,14.4599,0.086938446,0.003666816,0.248031857,31.7118
83.6,136828.4,50.8926,1.1093,14.5,0.7,31409.6,0,Northern Trust,2019-12-31,16.3,125737.4,155.3,5644.5,0.027513509,11091,13.8171,0.081057734,0.002661607,0.229554683,28.7843
103.9,161709.2,78.5582,1.0619,12.8,-2.6,37837.7,0,Northern Trust,2020-03-31,14.5,150829.5,121.1,8546.9,0.01416888,10879.7,14.0092,0.067279413,0.002745939,0.233986069,28.7758
98.5,151432.9,51.8055,1.0285,14.6,0.7,33757.3,0,Northern Trust,2020-06-30,16.5,140050.7,34.2,5896.6,0.005799953,11382.2,12.8864,0.075163323,0.002917887,0.222919194,27.6577
98,152082,65.6597,0.9691,14.5,-2.6,32766.3,0,Northern Trust,2020-09-30,16.5,140502.9,26.8,7602.8,0.003525017,11579.1,11.9649,0.076137215,0.002990878,0.215451533,26.7286
131.7,170003.9,47.8265,0.7882,13.9,-0.4,33759.7,0,Northern Trust,2020-12-31,15.6,158315.6,18.2,5590.1,0.003255756,11688.3,10.6175,0.068753129,0.003901101,0.198581915,23.4641
123.8,163924.1,86.9191,0.7516,13,-0.9,34344.3,0,Northern Trust,2021-03-31,14.5,152466.2,9.8,9959.1,0.000984025,11457.9,10.9573,0.069897593,0.003604674,0.209513427,24.9854
106.5,172291.1,42.3615,0.7899,13.1,-3.2,37406.6,0,Northern Trust,2021-06-30,14.5,160468.1,7.5,5008.4,0.001497484,11823,11.0199,0.068622233,0.002847091,0.217112782,25.5841
141,169085.7,38.1551,0.8592,12.9,-1.1,39456.6,0,Northern Trust,2021-09-30,14.3,157186.9,4.9,4540,0.001079295,11898.8,11.754,0.070371415,0.003573547,0.233352673,27.8011
122.3,183889.8,40.3302,0.8733,12.9,-1.1,40480.6,0,Northern Trust,2021-12-31,14.1,171873,1.6,4846.4,0.000330142,12016.8,13.0377,0.065347833,0.0030212,0.220135103,25.3117
100.8,172565,64.2903,0.9269,12.4,-3.2,39239.1,0,Northern Trust,2022-03-31,13.6,161155.2,2.5,7335.4,0.000340813,11409.8,13.6393,0.066118854,0.002568866,0.227387361,26.2242
89.7,157786.3,50.4847,0.962,11.5,-5.5,41207.8,0,Northern Trust,2022-06-30,12.6,146716.6,66.1,5588.5,0.011827861,11069.7,13.8699,0.070156281,0.002176772,0.261162091,30.8269
76.4,159839.6,78.8902,0.9648,11.1,4.5,43991.9,0,Northern Trust,2022-09-30,12.2,148809.2,286.3,8701.9,0.032900861,11030.4,13.84,0.069009182,0.001736683,0.275225288,34.2223
45.9,155036.7,69.9916,0.7884,11.8,4.95,42893.3,0,Northern Trust,2022-12-31,13.9,143777.2,635.6,7880.7,0.080652734,11259.5,11.4795,0.07262474,0.001070097,0.276665461,34.6103
48.9,151108,83.625,0.7917,12.3,2.9,42369.5,0,Northern Trust,2023-03-31,14.4,139520.2,924.2,9690.3,0.095373724,11587.8,11.1429,0.076685549,0.001154132,0.28039217,37.2553
