npl,total assets,debt to equity,ROA,ROE - COM,Tier 1 capital ratio,net charge offs,total loans,TBTF ,Bank,loan deposit ratio,date,risk based capital ratio
154.641,64879.668,66.7995,1.0611,12.2189,10.7,15.925,48386.298,0,Wintrust Financial,0.921427034,2024-12-31,12.3
17109,2149851,258.0461,1.1475,3.8696,11.9,1388,928534,1,Bank of America,0.819065849,2014-03-31,14.8
14676,2170557,256.5656,0.3703,3.1505,12.5,1073,921099,1,Bank of America,0.812021027,2014-06-30,15.3
13540,2123613,242.2405,0.2457,1.9257,12.8,1043,899224,1,Bank of America,0.808668493,2014-09-30,15.8
11932,2104534,225.8092,0.2298,1.7087,13.1,879,894227,1,Bank of America,0.799176182,2014-12-31,14.6
11205,2143545,219.7056,0.3823,3.1439,12.3,1194,887688,1,Bank of America,0.769782027,2015-03-31,15.3
10747,2149034,226.0746,0.5116,4.331,12.5,1068,893363,1,Bank of America,0.77713473,2015-06-30,15.5
9799,2153006,213.0853,0.7436,6.3534,12.9,932,896531,1,Bank of America,0.771535332,2015-09-30,15.8
9377,2144287,197.5657,0.7595,6.3969,12.9,1144,904436,1,Bank of America,0.755422177,2015-12-31,15.7
8850,2185498,200.4342,0.7627,6.4119,11.5,1068,907305,1,Bank of America,0.745366031,2016-03-31,13.5
8364,2186609,192.8386,0.7454,6.1833,13.4,985,912001,1,Bank of America,0.7499447,2016-06-30,16.3
8349,2195314,187.8008,0.7586,6.204,13.7,888,915594,1,Bank of America,0.742637451,2016-09-30,16.4
7707,2188067,178.0984,0.8192,6.7651,13.6,880,915749,1,Bank of America,0.726246576,2016-12-31,16.3
7274,2247701,197.2486,0.8847,7.4301,13.6,934,920993,1,Bank of America,0.723970849,2017-03-31,16.3
6802,2254529,197.3368,0.8977,7.4674,14,908,922548,1,Bank of America,0.730453372,2017-06-30,16.7
6570,2283896,197.3027,0.911,7.5608,14,900,940360,1,Bank of America,0.73212983,2017-09-30,16.5
6470,2281234,193.9464,0.8159,6.8415,13.4,1237,948179,1,Bank of America,0.724052247,2017-12-31,15.9
6378,2328478,206.2455,0.8659,7.5433,13,911,943305,1,Bank of America,0.709965048,2018-03-31,15.4
5897,2291670,201.4064,0.9454,8.2144,13,996,942335,1,Bank of America,0.719509411,2018-06-30,15.3
5154,2338833,200.1461,1.0052,8.8724,12.9,932,935377,1,Bank of America,0.695112173,2018-09-30,15.2
4944,2354507,190.2335,1.2143,10.945,13.2,924,957262,1,Bank of America,0.692926985,2018-12-31,15.4
4850,2377164,198.7667,1.213,11.1366,13.1,991,951912,1,Bank of America,0.690122863,2019-03-31,15.4
4187,2395892,203.602,1.2418,11.3656,13.3,887,969216,1,Bank of America,0.704836691,2019-06-30,15.6
3476,2426330,210.4893,1.1632,10.8495,12.9,811,982721,1,Bank of America,0.705553992,2019-09-30,15.2
3552,2434079,197.7036,1.1456,10.7339,12.6,959,992584,1,Bank of America,0.691791138,2019-12-31,14.8
4056,2619954,201.5809,0.9657,9.3259,12.3,1122,1058647,1,Bank of America,0.668622677,2020-03-31,14.6
4393,2741688,203.1238,0.7908,7.7087,13.2,1146,1006325,1,Bank of America,0.585526798,2020-06-30,15.8
4550,2738452,204.2157,0.7519,7.3492,13.5,972,959606,1,Bank of America,0.563519449,2020-09-30,16.1
4952,2819627,195.7952,0.6812,6.7261,13.5,909,937104,1,Bank of America,0.521923942,2020-12-31,16.1
5162,2970028,209.9146,0.7848,8.3441,13.3,823,910983,1,Bank of America,0.483286772,2021-03-31,15.6
4907,3029894,223.7703,0.9573,10.5556,13,595,927205,1,Bank of America,0.485665812,2021-06-30,15.1
4714,3085446,227.0186,1.0452,11.7271,12.6,463,937151,1,Bank of America,0.476969204,2021-09-30,14.7
4567,3128528,225.0365,1.0752,12.377,12.1,362,953792,1,Bank of America,0.471362441,2021-12-31,14.1
4625,3238223,238.2841,0.9985,12.1011,12,392,1003415,1,Bank of America,0.484178075,2022-03-31,14
4164,3111606,224.8798,0.9124,10.7624,12.3,571,1037420,1,Bank of America,0.522801181,2022-06-30,14.2
3983,3072953,219.1126,0.8901,10.5776,12.8,520,1040095,1,Bank of America,0.536657866,2022-09-30,14.7
3808,3051375,215.7077,0.8909,10.6149,13,689,1052618,1,Bank of America,0.545301581,2022-12-31,14.9
3918,3194657,266.6951,0.8899,11.0206,13.1,807,1053215,1,Bank of America,0.551305432,2023-03-31,15
4126,3123198,251.8486,0.9554,11.4127,13.3,869,1058012,1,Bank of America,0.56360906,2023-06-30,15.1
4833,3153090,255.7193,0.9799,11.5947,13.6,931,1056740,1,Bank of America,0.560723463,2023-09-30,15.4
5485,3180151,248.0751,0.851,9.7888,13.5,1192,1059734,1,Bank of America,0.550846828,2023-12-31,15.2
5883,3273803,265.447,0.7738,9.0345,13.6,1498,1057727,1,Bank of America,0.543400552,2024-03-31,15.2
5473,3257996,271.989,0.7684,8.7434,13.5,1533,1063828,1,Bank of America,0.556834866,2024-06-30,15.1
